#  log(age)     mini          mact           logl     logt  phase
    6.6500   48.0351676941   34.6212000000    5.8605    3.7721   0.0
    6.6500   48.0428390503   34.4095000000    5.8614    3.7749   0.0
    6.6500   48.8546295166   29.8678000000    5.8719    4.5436   0.0
    6.6500   49.3303222656   29.6384000000    5.8717    4.6045   0.0
    6.6500   53.7799720764   17.6667000000    5.7744    5.0461   0.0
    6.6500   54.5417633057    2.6005000000    5.7545    5.1137   0.0
#  log(age)     mini          mact           logl     logt  phase
    6.7000    0.1500000060    0.1500000000   -2.4002    3.5584   0.0
    6.7000    0.2000000030    0.2000000000   -2.0997    3.5865   0.0
    6.7000    0.2500000000    0.2500000000   -1.9066    3.5991   0.0
    6.7000    0.3000000119    0.3000000000   -1.7539    3.6092   0.0
    6.7000    0.3499999940    0.3500000000   -1.6283    3.6171   0.0
    6.7000    0.4000000060    0.4000000000   -1.4837    3.6224   0.0
    6.7000    0.4499999881    0.4500000000   -1.3712    3.6294   0.0
    6.7000    0.5000000000    0.5000000000   -1.2420    3.6380   0.0
    6.7000    0.5500000119    0.5500000000   -1.1005    3.6491   0.0
    6.7000    0.6000000238    0.6000000000   -0.9576    3.6623   0.0
    6.7000    0.6999999881    0.7000000000   -0.6600    3.7016   0.0
    6.7000    0.8000000119    0.8000000000   -0.3880    3.7430   0.0
    6.7000    0.8999999762    0.9000000000   -0.1496    3.7752   0.0
    6.7000    1.0018262863    1.0018000000    0.0766    3.8023   0.0
    6.7000    1.1018263102    1.1018000000    0.2767    3.8268   0.0
    6.7000    1.2018263340    1.2018000000    0.4530    3.8514   0.0
    6.7000    1.3018262386    1.3018000000    0.6120    3.8824   0.0
    6.7000    1.4018262625    1.4018000000    0.7552    3.9147   0.0
    6.7000    1.5018262863    1.5018000000    0.8828    3.9436   0.0
    6.7000    1.6009131670    1.6009000000    1.0032    3.9710   0.0
    6.7000    1.7000000477    1.7000000000    1.1129    3.9944   0.0
    6.7000    1.7990868092    1.7991000000    1.2125    4.0143   0.0
    6.7000    1.8999999762    1.9000000000    1.3033    4.0333   0.0
    6.7000    2.0000000000    2.0000000000    1.3927    4.0509   0.0
    6.7000    2.2000000477    2.2000000000    1.5448    4.0802   0.0
    6.7000    2.5000000000    2.5000000000    1.7486    4.1174   0.0
    6.7000    3.0000000000    3.0000000000    2.0313    4.1655   0.0
    6.7000    3.5000000000    3.5000000000    2.2632    4.2033   0.0
