#  log(age)     mini          mact           logl     logt  phase
    6.6500   54.0758934021   14.2976000000    5.7410    5.1096   0.0
    6.6500   54.0848121643   14.2844000000    5.7409    5.1130   0.0
    6.6500   54.1026535034   14.2579000000    5.7403    5.1189   0.0
    6.6500   54.1341438293   14.2110000000    5.7387    5.1254   0.0
    6.6500   54.1875228882   14.1239000000    5.7367    5.1307   0.0
    6.6500   54.2420196533   14.0354000000    5.7367    5.1359   0.0
    6.6500   54.2597084045   14.0024000000    5.7374    5.1383   0.0
    6.6500   54.2779006958   13.9685000000    5.7389    5.1409   0.0
    6.6500   54.2978515625   13.9313000000    5.7408    5.1433   0.0
    6.6500   54.3188247681   13.8961000000    5.7429    5.1473   0.0
    6.6500   54.3418083191   13.8575000000    5.7454    5.1518   0.0
    6.6500   54.3647994995   13.8239000000    5.7488    5.1550   0.0
    6.6500   54.3678016663   13.8196000000    5.7498    5.1597   0.0
#  log(age)     mini          mact           logl     logt  phase
    6.7000    0.1500000060    0.1500000000   -2.4676    3.5346   0.0
    6.7000    0.2000000030    0.2000000000   -2.1914    3.5560   0.0
    6.7000    0.2500000000    0.2500000000   -2.0031    3.5676   0.0
    6.7000    0.3000000119    0.3000000000   -1.8535    3.5768   0.0
    6.7000    0.3499999940    0.3500000000   -1.7268    3.5848   0.0
    6.7000    0.4000000060    0.4000000000   -1.5825    3.5920   0.0
    6.7000    0.4499999881    0.4500000000   -1.4616    3.6009   0.0
    6.7000    0.5000000000    0.5000000000   -1.3338    3.6115   0.0
    6.7000    0.5500000119    0.5500000000   -1.1977    3.6235   0.0
    6.7000    0.6000000238    0.6000000000   -1.0679    3.6356   0.0
    6.7000    0.6999999881    0.7000000000   -0.7927    3.6674   0.0
    6.7000    0.8257970214    0.8258000000   -0.4569    3.7179   0.0
    6.7000    0.9773910046    0.9774000000   -0.1126    3.7648   0.0
    6.7000    1.3742029667    1.3742000000    0.6159    3.8622   0.0
    6.7000    1.4742029905    1.4742000000    0.7541    3.8890   0.0
    6.7000    1.6000000238    1.6000000000    0.9081    3.9212   0.0
    6.7000    1.7257970572    1.7258000000    1.0481    3.9504   0.0
    6.7000    1.8386955261    1.8387000000    1.1542    3.9724   0.0
    6.7000    1.9257969856    1.9258000000    1.2451    3.9900   0.0
    6.7000    2.2000000477    2.2000000000    1.4619    4.0321   0.0
    6.7000    2.5000000000    2.5000000000    1.6715    4.0710   0.0
    6.7000    3.0000000000    3.0000000000    1.9653    4.1225   0.0
    6.7000    3.5000000000    3.5000000000    2.2055    4.1634   0.0
    6.7000    4.0000000000    4.0000000000    2.4086    4.1974   0.0
    6.7000    4.5000000000    4.5000000000    2.5843    4.2265   0.0
    6.7000    5.0000000000    5.0000000000    2.7427    4.2523   0.0
    6.7000    6.0000000000    6.0000000000    3.0171    4.2944   0.0
    6.7000    7.0000000000    7.0000000000    3.2484    4.3293   0.0
    6.7000    7.6198792458    7.6199000000    3.3756    4.3470   0.0
    6.7000    9.0000000000    9.0000000000    3.6312    4.3832   0.0
    6.7000   14.2260894775   14.1974000000    4.3029    4.4721   0.0
    6.7000   18.7101497650   18.6201000000    4.6957    4.5119   0.0
    6.7000   18.9756546021   18.8773000000    4.7133    4.5134   0.0
    6.7000   24.0642013550   23.6853000000    5.0189    4.5274   0.0
    6.7000   27.4202995300   26.6607000000    5.1909    4.5227   0.0
    6.7000   27.5099258423   26.7364000000    5.1948    4.5224   0.0
    6.7000   31.6437854767   30.0305000000    5.3644    4.4873   0.0
    6.7000   35.1516189575   32.3348000000    5.4937    4.4117   0.0
    6.7000   36.6977500916   33.1358000000    5.5482    4.3476   0.0
    6.7000   37.4202995300   33.4529000000    5.5744    4.3101   0.0
    6.7000   37.7555541992   33.5773000000    5.5842    4.2949   0.0
    6.7000   37.8570289612   33.5885000000    5.5876    4.2929   0.0
    6.7000   38.2119064331   33.3933000000    5.6033    4.3136   0.0
    6.7000   38.3050537109   33.3544000000    5.6247    4.3367   0.0
    6.7000   38.3407821655   33.3384000000    5.6327    4.3553   0.0
    6.7000   38.3528289795   33.3355000000    5.6254    4.3408   0.0
    6.7000   38.3563499451   33.3346000000    5.6253    4.3283   0.0
    6.7000   38.3590316772   33.3340000000    5.6280    4.3168   0.0
    6.7000   38.3616294861   33.3333000000    5.6311    4.3029   0.0
    6.7000   38.3643112183   33.3327000000    5.6338    4.2872   0.0
    6.7000   38.3660697937   33.3322000000    5.6353    4.2761   0.0
    6.7000   38.3678245544   33.3318000000    5.6366    4.2647   0.0
    6.7000   38.3695831299   33.3314000000    5.6375    4.2524   0.0
    6.7000   38.3713378906   33.3310000000    5.6383    4.2397   0.0
    6.7000   38.3731002808   33.3305000000    5.6387    4.2262   0.0
    6.7000   38.3748588562   33.3301000000    5.6392    4.2123   0.0
    6.7000   38.3766136169   33.3297000000    5.6394    4.1971   0.0
    6.7000   38.3783683777   33.3017000000    5.6396    4.1808   0.0
    6.7000   38.3801231384   33.2737000000    5.6398    4.1630   0.0
    6.7000   38.3818778992   33.2457000000    5.6399    4.1434   0.0
    6.7000   38.3827095032   33.2324000000    5.6396    4.1324   0.0
    6.7000   38.3836326599   33.2177000000    5.6395    4.1211   0.0
    6.7000   38.3844680786   33.2044000000    5.6394    4.1089   0.0
    6.7000   38.3853950500   33.1897000000    5.6392    4.0959   0.0
    6.7000   38.3862266541   33.1192000000    5.6391    4.0817   0.0
    6.7000   38.3871498108   33.0899000000    5.6390    4.0665   0.0
    6.7000   38.3879814148   33.0636000000    5.6390    4.0488   0.0
    6.7000   38.3889045715   33.0343000000    5.6389    4.0307   0.0
    6.7000   38.3897361755   33.0079000000    5.6389    4.0145   0.0
    6.7000   38.3906555176   32.9786000000    5.6388    4.0001   0.0
