#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.75   39.6477394104 36.4249   5.7258   3.9331   0.9520   0.4787   0.0000
    6.75   39.7493820190 36.2610   5.7294   3.9261   0.9184   0.4787   0.0000
    6.75   39.8357276917 36.1136   5.7324   3.9196   0.8876   0.4787   0.0000
    6.75   39.9140014648 35.9735   5.7351   3.9134   0.8583   0.4787   0.0000
    6.75   39.9869346619 35.8374   5.7376   3.9071   0.8290   0.4787   0.0000
    6.75   40.0565605164 35.7025   5.7400   3.9007   0.7994   0.4787   0.0000
    6.75   40.1077194214 35.6002   5.7417   3.8951   0.7742   0.4787   0.0000
    6.75   40.1574096680 35.4982   5.7434   3.8893   0.7482   0.4787   0.0000
    6.75   40.1975708008 35.4153   5.7448   3.8840   0.7243   0.4787   0.0000
    6.75   40.2284812927 35.3397   5.7459   3.8790   0.7024   0.4787   0.0000
