#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.65   52.5780563354 19.9548   5.8475   4.8093   4.0738   0.4787   0.0000
    6.65   52.5789833069 19.9511   5.8475   4.8218   4.1235   0.4787   0.0000
    6.65   52.5797271729 19.9481   5.8477   4.8162   4.1010   0.4787   0.0000
    6.65   52.5812149048 19.9423   5.8477   4.8371   4.1844   0.4787   0.0000
    6.65   52.5825233459 19.9371   5.8480   4.8265   4.1416   0.4787   0.0000
    6.65   52.5838241577 19.9320   5.8479   4.8415   4.2016   0.4787   0.0000
    6.65   52.5849418640 19.9220   5.8481   4.8344   4.1730   0.4787   0.0000
    6.65   52.5860671997 19.9119   5.8481   4.8392   4.1916   0.4787   0.0000
    6.65   52.5873718262 19.9003   5.8482   4.8363   4.1799   0.4787   0.0000
    6.65   52.5892295837 19.8836   5.8481   4.8419   4.2018   0.4787   0.0000
    6.65   52.6046829224 19.7447   5.8480   4.8485   4.2255   0.4787   0.0000
    6.65   52.6373176575 19.4496   5.8475   4.8570   4.2536   0.4787   0.0000
    6.65   52.6856651306 19.0069   5.8469   4.8659   4.2796   0.4787   0.0000
    6.65   52.7583999634 18.8946   5.8459   4.8779   4.3258   0.4787   0.0000
    6.65   52.8288536072 18.7986   5.8452   4.8895   4.3711   0.4787   0.0000
    6.65   52.9026374817 18.6966   5.8444   4.9006   4.4140   0.4787   0.0000
    6.65   52.9500427246 18.6303   5.8439   4.9081   4.4427   0.4787   0.0000
    6.65   53.0206794739 18.5303   5.8431   4.9184   4.4826   0.4787   0.0000
    6.65   53.0669212341 18.4641   5.8425   4.9255   4.5100   0.4787   0.0000
    6.65   53.1122589111 18.3987   5.8420   4.9325   4.5367   0.4787   0.0000
    6.65   53.1593742371 18.3301   5.8414   4.9392   4.5627   0.4787   0.0000
    6.65   53.2224731445 18.2372   5.8406   4.9483   4.5975   0.4787   0.0000
    6.65   53.2858772278 18.1429   5.8398   4.9588   4.6379   0.4787   0.0000
    6.65   53.3431167603 18.0633   5.8392   4.9670   4.6698   0.4787   0.0000
    6.65   53.4017791748 17.9869   5.8386   4.9762   4.7050   0.4787   0.0000
    6.65   53.4601593018 17.9100   5.8380   4.9851   4.7395   0.4787   0.0000
    6.65   53.5157699585 17.8361   5.8375   4.9929   4.7695   0.4787   0.0000
    6.65   53.5687789917 17.7650   5.8370   5.0000   4.7966   0.4787   0.0000
    6.65   53.6218719482 17.6932   5.8364   5.0067   4.8222   0.4787   0.0000
    6.65   53.6719589233 17.6248   5.8359   5.0153   4.8553   0.4787   0.0000
    6.65   53.7188491821 17.5603   5.8354   5.0230   4.8852   0.4787   0.0000
    6.65   53.7663841248 17.4945   5.8349   5.0292   4.9088   0.4787   0.0000
    6.65   53.8112831116 17.4318   5.8344   5.0349   4.9307   0.4787   0.0000
    6.65   53.8902282715 17.3235   5.8336   5.0431   4.9616   0.4787   0.0000
    6.65   54.0028762817 17.1785   5.8327   5.0545   5.0040   0.4787   0.0000
    6.65   54.1318130493 17.0096   5.8318   5.0665   5.0491   0.4787   0.0000
    6.65   54.2778015137 16.8146   5.8307   5.0794   5.0964   0.4787   0.0000
    6.65   54.4135932922 14.6977   5.8333   5.1406   5.2804   0.4787   0.0000
    6.65   54.5469284058 11.2060   5.8300   5.1661   5.2678   0.4787   0.0000
    6.65   54.5650482178 11.1803   5.8308   5.1696   5.2800   0.4787   0.0000
    6.65   54.6123161316 11.1095   5.8366   5.1800   5.3132   0.4787   0.0000
    6.65   54.6211814880 11.0975   5.8390   5.1822   5.3190   0.4787   0.0000
    6.65   54.6255226135 11.0916   5.8403   5.1825   5.3186   0.4787   0.0000
    6.65   54.6290702820 11.0867   5.8414   5.1825   5.3173   0.4787   0.0000
    6.65   54.6328125000 11.0816   5.8424   5.1823   5.3152   0.4787   0.0000
    6.65   54.6365699768 11.0765   5.8437   5.1815   5.3106   0.4787   0.0000
    6.65   54.6405143738 11.0712   5.8451   5.1809   5.3067   0.4787   0.0000
    6.65   54.6426811218 11.0682   5.8459   5.1802   5.3029   0.4787   0.0000
    6.65   54.6446609497 11.0658   5.8466   5.1793   5.2987   0.4787   0.0000
    6.65   54.6468200684 11.0633   5.8474   5.1775   5.2903   0.4787   0.0000
    6.65   54.6489982605 11.0607   5.8482   5.1754   5.2810   0.4787   0.0000
    6.65   54.6523437500 11.0568   5.8495   5.1706   5.2606   0.4787   0.0000
    6.65   54.6558914185 11.0526   5.8509   5.1649   5.2363   0.4787   0.0000
    6.65   54.6590576172 11.0489   5.8521   5.1607   5.2179   0.4787   0.0000
    6.65   54.6624183655 11.0449   5.8534   5.1550   5.1938   0.4787   0.0000
#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.70    0.1500000060  0.1500  -2.4325   3.5472   5.1812   0.4787   0.0000
    6.70    0.2000000030  0.2000  -2.1461   3.5713   5.1162   0.4787   0.0000
    6.70    0.2500000000  0.2500  -1.9557   3.5833   5.0706   0.4787   0.0000
